Terms                                 ,Genes ,ZIPF_Score ,Articles ,Freq_Term ,Publications
inflammation                          ,   19 ,      3.73 ,      39 ,       53 ,"27660103,29246798,31638262,29525604,33916053,27941623,26158506,32116744,34324523,33600051,29715315,30459560,32918239,31403401,31408947,31391270,29540307,24704991,34306096,31191748,34199160,32916630,31080378,31635106,34679046,31168311,19114004,23842751,32493433,33269646,27412694,26088507,33597172,24204595,32636874,34029576,18538872,28068390,12709428"
dlx6-as1                              ,    1 ,      0.0  ,       6 ,       53 ,"32239379,34508305,30551440,31646562,29145165,32951317"
pp32                                  ,    1 ,      0.06 ,      13 ,       53 ,"17178712,9473664,10400610,11360199,11555662,11830591,12628186,15287743,16341127,10913355,14964690,10086381,15146458"
pre-mrna                              ,    7 ,      3.19 ,      29 ,       53 ,"9001221,11514619,12403470,20932480,8045264,8449401,9409622,35886974,11991638,18984161,25555158,28502770,32029631,10449419,11884590,32243451,23620288,23825951,33174841,8107114,28193846,16162498,11375989,19592703,20410308,31133003,21667333,16987817,9582285"
cerevisiae                            ,    8 ,      2.43 ,      47 ,       53 ,"9409622,14562106,26912367,26743623,10449419,11884590,18627462,9452424,10095118,16534748,28555368,21667333,11777942,10684936,8496166,26715182,8089078,20356456,16102003,10681558,15210711,2895105,7961686,8344960,11741925,16987817,18067580,1903841,2656688,2852136,3062365,3540607,14675757,16157662,16408210,19120453,19424157,3119589,8307948,8314769,17513484,11976098,20018887,17098851,22730406,12692332,29202712"
remodel                               ,   23 ,      2.92 ,      41 ,       52 ,"29959233,22152112,18039846,16341127,14964690,15649459,19224982,29547667,26030138,28712728,22215678,16245309,21609829,28241067,30858501,31083566,30409805,22968445,28473402,28566298,26668058,32545553,24188528,31635106,29495482,28781166,29146871,19170760,29898807,17578910,19417104,12543933,26528317,29890774,34938367,31536826,25838379,25278503,20919932,32817651,11997499"
trna                                  ,    8 ,      2.53 ,      34 ,       52 ,"7219534,7219535,10611383,12060739,12819782,18695251,24312579,26074468,9878398,27302160,19622630,28975734,22930593,25151410,28321488,12056811,10430027,29235198,26072516,28934368,31827252,31819004,21464306,16251277,17118580,18627462,14976550,17082187,28555368,33688012,15254228,25278503,28953965,23716598"
repression                            ,   12 ,      3.51 ,      39 ,       52 ,"33999993,32347797,22564795,23145006,18039846,11830591,17557114,24147004,15860628,11259580,11897684,26030138,19144721,24523552,17289077,17452463,21044876,18929534,20673990,8910362,29898807,12670868,23353889,18585351,18413715,35120969,7744952,35614067,22912857,18990192,23722165,2656688,2852136,3062365,3540607,25812137,10704837,17116691,15539428"
ca2                                   ,    6 ,      2.79 ,      16 ,       52 ,"29715315,21503958,11535622,10949023,19095005,21339484,26063807,10891348,20095964,24001019,16809425,23148318,26668058,16677835,18222016,26880549"
hcf                                   ,    1 ,      1.83 ,      13 ,       52 ,"10623756,10629049,10675337,10871379,10920196,10984507,14532282,15705566,7590226,9271389,9389645,9087427,9334261"
mammal                                ,   18 ,      3.31 ,      45 ,       51 ,"30935896,35563075,24800637,27672209,15672400,33999993,33896883,21723936,25954033,28479339,23747543,32269123,21680841,24523552,19364821,33140506,20945367,24608635,2158525,29581457,10944442,29026428,19469553,16221301,25240868,26300302,17998332,9271389,21909281,19417104,28685837,26129968,35817801,18636753,25741220,20381631,20144717,20211754,22450240,21776009,18538872,14586471,16914118,32435206,17583703"
protection                            ,   13 ,      4.85 ,      37 ,       51 ,"33072792,19754951,35417297,7720578,28988713,31823891,32860793,20536739,2351831,26082896,26360774,26605136,14643893,33780465,18627462,24140707,28367141,31133003,32196615,25965334,25907681,18052930,17765304,10704594,27393003,20807727,18538872,16891402,24424024,2895105,7961686,8344960,11741925,31031728,25119981,19575787,12692332"
calcium                               ,   15 ,      3.82 ,      32 ,       51 ,"32325910,27213757,19754951,12952927,32112990,24284412,12522145,15699139,22757692,17509612,28393127,30384889,30409805,31506724,35053257,28473402,32053184,33871019,16677835,35782537,11932413,32867742,31191748,32748085,26823915,23008267,21394738,29890774,28666451,35809345,25640076,33553005"
chromatography                        ,   18 ,      2.95 ,      47 ,       51 ,"17060615,12644575,12611891,28293639,26487969,18306214,31576248,26801685,32210829,17081065,12558975,32860793,10847580,21734034,17519572,22757692,8635664,17509612,10852722,18721790,26668058,1567461,24098404,35782537,22860605,35600141,24920668,12183465,1729596,12410829,15998247,28685837,33083141,26438063,35164288,23796209,29342075,23321469,34238312,20144717,2895105,12084836,10944119,2492279,10229683,19120453,27573699"
peripheral                            ,   16 ,      3.66 ,      37 ,       51 ,"33768254,29198722,22564795,12438741,9178261,19206110,34573275,14557581,11906164,31337710,33299887,22404946,3500230,15557202,34207643,22930593,29235198,26072516,32543048,28934368,31827252,24169046,28257485,26162278,33269646,32596266,10779346,34073234,31620020,30357511,26496923,23306908,22025680,16033648,29554571,27573699,24529706"
genotype                              ,   14 ,      2.87 ,      22 ,       51 ,"28163244,32277752,18498429,24731717,34573275,34231238,32331968,31080378,20877624,21653323,18636101,27177187,33517344,35164288,31671511,31018578,31935846,24616729,29945054,34238312,33841819,19575787"
proteolysis                           ,   10 ,      2.0  ,      27 ,       51 ,"26801685,30733281,11514619,28468944,11790253,17965014,19114711,22170863,26063807,30409805,31506724,29581457,23148318,10779346,10920196,14532282,16624878,19131338,21285374,28584052,32479599,30224358,17449658,27228164,35211128,29228011,33271965"
allele                                ,   18 ,      2.91 ,      31 ,       50 ,"11841538,9887343,19487983,28163244,27416760,26512061,26332462,23675506,28270566,15860628,22184064,34416235,21852956,11914418,17509612,22930593,32543048,31827252,20015225,10029606,16446107,28811544,33276377,32522152,7559470,11336498,34238312,16134099,19106090,3062365,9582285"
atp                                   ,   14 ,      3.51 ,      36 ,       50 ,"25209663,3141400,12792025,25853266,26298201,22577081,26074468,35644505,24940773,26030138,29715315,27626371,11940698,34384932,32070771,18396137,34849584,33240452,23009842,33255149,24188528,10430027,31819004,19170760,33269646,17082187,22615881,21825280,26465331,31835328,19812042,29427714,23722165,14586471,18279387,29879216"
organ                                 ,   20 ,      4.14 ,      43 ,       50 ,"19487983,15465488,14645121,24056062,22564795,17872382,18057103,27760456,32951317,15060138,21636789,9739103,19224982,17473173,26030138,19364821,31355153,17873332,29026428,24732964,23807296,32916630,31635106,28257485,32735576,28265575,19995576,23267362,28513600,25741220,32636874,27239855,30655626,17913528,18538872,19546244,17513484,32817722,23691188,33271965,14730085,16189181,17583703"
chicken                               ,   11 ,      4.63 ,      24 ,       50 ,"15672400,15672396,12895028,33686586,32574681,33045004,33208942,31694956,31608791,15649459,32860793,28533755,35782537,35395531,12941645,3182776,2915978,17118580,28685837,22987813,27257648,9710639,8496166,32476322"
inactivation                          ,   14 ,      2.75 ,      38 ,       50 ,"26512061,21270050,30297736,11360199,20454556,24794231,33039146,30890756,21852956,21339484,28768491,31403401,33731672,21309041,33517344,23008267,19417104,8631310,34110282,21212070,21916849,20211754,27892488,12059788,12161445,12714748,19812042,17519234,11986303,12714747,15099742,11795888,15956211,17409354,2895105,20176891,10487217,19424157"
phosphoprotein                        ,    8 ,      1.42 ,      39 ,       50 ,"33686586,18039846,20015864,20538007,24823948,31793855,15287743,30666459,33208942,30890743,14964690,16420440,21049064,10086381,26112988,28436273,24794231,26783066,28176357,26515131,31943339,11771749,10875629,2160982,2845422,12944371,2158525,21164014,17893145,18973346,11279279,25736597,25547487,12221279,8603710,20688971,35164288,10574923,10749851"
junction                              ,   12 ,      3.94 ,      26 ,       49 ,"11063735,29034528,30479852,9887343,26403541,29959233,22152112,1989603,27097562,33017189,26792178,11535622,35053257,31337710,22404946,31938350,32867742,35395531,22293958,25555158,28502770,26162278,19417104,12826663,17289661,11229364"
environment                           ,   20 ,      4.87 ,      44 ,       49 ,"28366030,15265369,33403290,15347652,26985665,19007769,24940773,29967323,20454556,35271667,26991250,23322550,31408947,18802457,29925238,35886053,31635106,35268596,25240868,17993523,15060047,33361324,18636101,32735576,29238354,32842715,14562095,16534748,19824013,25555378,33193631,20003296,31671511,23267362,31835328,26861137,32636874,23618867,16134099,19195412,27822460,31031728,23604074,25240600"
ef-2                                  ,    2 ,      3.28 ,      13 ,       49 ,"9409622,18000335,17118580,16901746,16139798,7559470,16525935,12410829,10428815,11402051,8422275,17560550,34466438"
tat                                   ,    1 ,      3.35 ,      10 ,       49 ,"17289077,10329125,10329126,10364329,10393184,10913173,12944466,16109377,9491887,9832504"
prxs                                  ,    2 ,      0.0  ,      22 ,       49 ,"15998247,10731722,20381631,20144717,20211754,27892488,15105503,18172504,12080185,12714747,21287625,19462976,19932185,17556052,34208049,23124252,20356456,15824112,15163410,12529539,16884685,17031636"
dominant                              ,   17 ,      4.23 ,      42 ,       48 ,"11841538,15941723,22781308,18614564,18728160,22715480,16040025,23145006,12895028,15666299,9467018,9353121,32112990,12037670,12944466,10391242,10526337,10781099,16091362,24026677,23418567,21852956,14557581,30235249,1567461,32333447,29235198,26072516,25482442,18760763,21653323,19815555,23001565,24736735,25318674,35614067,21850687,16600425,10704837,15657427,23508108,15539428"
sensitivity                           ,   19 ,      3.95 ,      41 ,       48 ,"20801516,19622630,35749873,34102191,26487969,26112988,25096996,31938151,31583475,31576248,26394147,24284412,22118625,26792178,11535622,18802457,23718750,24676454,31234367,28632987,29375488,21602352,18627462,9452424,26150413,28555368,35902094,9442054,20211754,27892488,23618867,12080185,12714747,24316080,17409354,15210711,18271751,24424024,16157662,24163315,29879216"
retinol                               ,    2 ,      2.47 ,      15 ,       48 ,"19141675,20563989,17473173,26391396,15505029,18502750,19102727,24733397,25627686,12226107,12407145,19458327,21782811,26394147,31234227"
nono                                  ,    2 ,      2.57 ,      16 ,       48 ,"16641145,22416126,30270045,9393982,26571461,32286661,8355702,9001221,15860628,28712728,21507896,22118625,25326457,35886974,33476259,32420127"
elegans                               ,    8 ,      2.6  ,      28 ,       48 ,"15563843,20510931,21609829,25188325,26792178,11279279,33871019,23076791,26072516,20688971,21464306,9271389,21909281,18413715,27138431,12826663,15099742,19064914,20649472,20964547,24889636,25204677,25640076,25808059,29055282,23722165,15003625,22163185"
tif2                                  ,    1 ,      0.0  ,      15 ,       48 ,"10704837,10594042,11250900,12676584,15657427,17116691,8670870,9430642,9558366,12507421,9111344,16189181,18248177,18295965,23132854"
differentiate                         ,   16 ,      3.62 ,      40 ,       47 ,"30935896,28350824,30259138,11906214,33386644,24056062,23145006,17597530,19956613,24042587,17027239,17051482,12895028,27335460,21116826,11430900,31583475,19253283,20536739,25326457,20218812,22968445,3670309,12324571,34207643,29900121,26581954,3182776,18760763,35637209,15060047,26162278,33174841,25418729,18585351,23267362,32512821,8496166,14622290,25240600"
purification                          ,   19 ,      3.29 ,      43 ,       47 ,"27672209,19131329,19289464,32574681,31793855,15287743,18306214,26030138,8439294,21734034,15576338,17643375,33140506,22837305,17892558,2915977,26082896,23665500,29530978,19864425,16449382,8407861,23348515,11574479,18621711,11884590,23620288,22721921,10920196,15199122,12782322,30375416,18065650,26289635,26240280,25965334,25907681,28953965,2895105,1556119,16215987,28592803,11971985"
basal                                 ,   17 ,      3.4  ,      32 ,       47 ,"29215095,12145306,16540541,28002843,11897684,12037672,10329125,10393184,10913173,17873332,2160982,2158525,28613156,28393127,31403401,11303049,35370544,28975734,29495482,3356687,18929534,22293958,16162498,17578910,17118580,28267607,24616729,25907681,20807727,17913528,11741925,19039140"
homeodomain                           ,    2 ,      1.26 ,      32 ,       47 ,"19890851,11906214,18728160,20396904,7898305,35644505,10926781,12710967,7720578,12588845,16040025,29440302,26985665,17597530,17872382,18057103,18056716,24042587,12145306,27416760,17051482,27760456,26836061,15666299,21503878,18322277,15456894,24858471,15581883,35909540,27335460,23382810"
fusion                                ,   17 ,      4.02 ,      40 ,       47 ,"11906214,10926781,16040025,26685160,12413904,9393982,17537995,28468944,31315980,1900194,34384932,18452710,33918228,14562106,1459448,23842751,27235438,28765283,32748085,9651361,8910362,10593949,15705566,14562095,28267607,15452137,7922339,10749851,11739746,32636874,18226547,17031636,3540607,16215987,8307948,27822460,22046314,12676584,15657427,9558366"
dlx6                                  ,    1 ,      0.0  ,      17 ,       47 ,"19956613,22121204,27416760,17027239,17051482,15672396,33215805,32239379,31646562,26512061,21270050,25954033,24858471,32951317,26685160,27335460,23382810"
chaperone                             ,   13 ,      2.75 ,      30 ,       47 ,"18039846,20015864,20538007,24463511,26112988,30858501,15699139,16244664,16271702,14668352,20945367,26668058,30305605,30259240,18984161,23333303,31693902,26465331,20403389,24616729,30428365,17519234,27238969,19064914,20356456,15163410,18271751,23604074,23263864,14730085"
hars                                  ,    1 ,      1.54 ,       8 ,       47 ,"22279524,22930593,28632987,12056811,31797905,29235198,26072516,28934368"
heterozygous                          ,   12 ,      2.36 ,      33 ,       46 ,"11841538,9887343,19622630,26706854,25105228,15846561,18728160,19956411,20396904,22715480,25293953,35417297,31969185,31845906,18498429,35681437,19364821,21852956,30235249,31227780,10944442,19364667,9463323,31449985,26072516,31827252,33307066,20015225,12393718,21653323,33276377,33547280,34273022"
heterogeneous                         ,   11 ,      3.08 ,      44 ,       46 ,"12373648,34791963,32277752,22121204,26191006,32468006,16091362,24026677,12616398,34384932,34849584,26072516,32543048,21464306,19731322,21309041,31732577,12093748,12183465,16564677,1729596,18775702,22825850,23825951,25678563,26173930,9651361,16360036,8910362,19170760,30450874,24027268,19596686,35455958,33269646,29724888,28324005,28555196,28265575,23001565,32708393,20547565,25929241,25793542"
microarray                            ,   17 ,      2.34 ,      28 ,       46 ,"30479852,21695218,22508046,33215805,21120994,19224982,22118625,26818658,19014685,20218812,16528249,20003521,19114004,32575356,18929534,17555569,23666536,17993523,22783226,18636101,16564677,18973667,17449658,21825280,35614067,19025623,14730085,21151342"
cytoskeleton                          ,   17 ,      2.3  ,      41 ,       46 ,"30935896,34357055,27213757,19754951,33679438,19289464,28077931,15895553,29967323,34810232,28436273,28241067,25632391,33017189,30858501,30347620,1551869,35414502,20883646,33255149,26702755,22860605,32867742,31191748,24188528,29900121,31635106,20381070,31168311,27470985,22967762,26823915,18575609,27257648,22615881,34486252,29228011,19665017,20873783,8660923,32476322"
transmembrane                         ,   16 ,      2.51 ,      37 ,       46 ,"29462933,25209663,11054105,22577081,33386644,9096311,32860793,34810232,20059949,15699139,11790253,28176357,26515131,10391242,16027166,17965014,18440095,19114711,20036644,21752865,29476059,12135771,31337710,31315980,31870285,27626371,33569461,33731672,20890123,10623756,28685837,31835328,12826663,27756895,27265872,18325611,35811673"
transduction                          ,   19 ,      2.7  ,      40 ,       46 ,"26104117,11054105,7937870,15895553,25116916,9178261,24284412,12522145,20932480,12037672,20059949,27821587,25632391,28468944,15699139,11771749,2158525,11279279,31870285,20074381,17555569,12183465,8910362,30450874,26823915,12032361,30356767,19360125,23306908,25929241,28391978,12714747,17409354,14586471,18279387,18633122,33841819,19025623,30654474,12709428"
snrnp                                 ,    4 ,      1.06 ,      21 ,       46 ,"9409622,17643375,24515107,11574479,11991638,12975319,15146077,18984161,19325628,21816274,23333303,25555158,28502770,31799625,32494006,21516107,26743623,10449419,11302706,11884590,28193846"
ndufs4                                ,    1 ,      0.0  ,      17 ,       46 ,"10944442,11181577,12616398,15975579,19107570,19364667,31206022,23073781,32918239,34384932,18396137,25594180,29590638,34849584,35921115,34040028,32331968"
gland                                 ,   13 ,      3.38 ,      27 ,       45 ,"30479852,33072792,33105837,20396904,10830431,7720578,7743941,10940620,24056062,17872382,26512061,25116916,9739103,34324523,20454581,6954532,23807296,20015225,28257485,34200738,27412694,26088507,19995576,27602567,19195412,32817722,22046331"
posse                                 ,   16 ,      3.18 ,      41 ,       45 ,"31425889,28877183,14645121,31968244,20538007,32231671,14964690,34573275,9499409,2158525,7876104,23236463,20047682,16221301,28321488,23422076,32906706,32493433,25418729,10593949,18838538,19815555,9271389,18585351,30224358,25064856,19360125,15254228,18052930,9497357,17519234,17909037,10704594,2895105,2492279,11161802,11976098,27098988,29879216,18325611,9430642"
immunoprecipitation                   ,   16 ,      1.89 ,      42 ,       45 ,"22152112,3141400,12145306,27760456,21503878,15456894,25815730,24463511,19188438,19458327,14749213,28712728,34810232,21734034,25326457,21509660,9499409,16109376,22837305,16027166,29476059,32077747,20095964,31506724,33569461,18555711,15960975,17998332,20200153,24250814,33050986,12410829,25555378,26496923,23306908,26289635,10749851,28487382,35013429,33693959,29804005,17909037"
reductase                             ,   10 ,      2.71 ,      34 ,       45 ,"24386424,25096996,24733397,1900194,30005605,31134003,23666536,31732577,28765283,26823915,11452028,33920578,20547565,19862763,8554614,12161445,15105503,17974571,11877442,17707404,7733872,20807727,21871553,8089078,18990192,19345687,16891402,18271751,7961686,16884685,14630923,11741925,10487217,32420127"
isoform                               ,   16 ,      2.24 ,      33 ,       45 ,"24312579,18180367,25116916,8798450,35887102,16641145,15140795,33771997,23060074,16271702,19296525,17567946,17888914,31191748,32916630,32906706,20015225,14643893,35911972,32493433,25418729,18973667,33492732,14731398,26121143,21212070,12080185,10535922,10681558,15262146,17213197,14622290,17583703"
behavior                              ,   20 ,      4.69 ,      31 ,       45 ,"23116197,33963285,31552903,32959027,27287801,33760186,15140795,22966205,8355702,32468006,32796722,35892672,33299887,33356743,20003521,17190607,22860605,24561205,19864425,30005605,24920668,18636101,23073011,32522152,27602567,25555378,21969592,17909037,35265054,24529706,20678994"
motor                                 ,   12 ,      4.53 ,      28 ,       45 ,"28433741,29198722,9353121,20844742,23675506,31823891,27930687,33284322,20510931,21609829,11906164,17904530,32918239,32070771,18396137,31403401,17190607,26072516,32543048,33228777,21516107,32522152,25318674,30357511,19766572,21562855,18606156,23263864"
xotx2                                 ,    1 ,      0.0  ,       9 ,       45 ,"10830431,12710967,7720578,7743941,10940620,12588845,16040025,16903786,17597530"
neurodegenerative                     ,   15 ,      2.68 ,      38 ,       45 ,"17557114,9353121,27404450,29525604,21933836,33495278,32034402,33771997,35892672,10526337,14656991,16027166,16091362,18440095,24026677,23418567,34416235,11771749,24908109,19107570,32918239,25594180,33752971,34040028,32331968,29900121,31635106,22930593,31168311,27053151,31799625,26823915,16162498,23001565,26465331,35809345,33889951,32882370"
cdk9                                  ,    1 ,      0.0  ,      17 ,       45 ,"12037670,19364821,23060074,11713533,12037672,15563843,17289077,9499409,19883659,10329125,10913173,12065898,16109376,9491887,9832504,24515107,17452463"
pka                                   ,    6 ,      2.58 ,      11 ,       45 ,"22184064,33017189,11771749,18973346,11279279,33758202,28613156,23781026,29581457,24188528,18000335"
disulfide                             ,    4 ,      2.57 ,      24 ,       45 ,"18440095,33780465,15998247,22125433,19360125,21916849,21994946,18052930,11904290,19766572,15105503,19812042,10535922,17974571,11877442,11784321,19345687,15706081,19106090,7961686,8041739,9888818,12084836,27265872"
tpx                                   ,    1 ,      1.51 ,       9 ,       45 ,"18226547,21287625,12519079,11795888,20356456,18538872,10681558,7961686,9888818"
serine                                ,   17 ,      2.64 ,      34 ,       44 ,"20940358,18614564,27097562,15287743,11514619,12037672,24794231,22184064,32098961,7588787,14668352,22837305,33758202,12221279,31870285,8107717,19917609,33626217,9087427,30224358,23184662,7559470,27602567,35164288,26496923,30659190,10749851,8041739,9888818,16408210,9582285,21750984,30113774,20018887"
protease                              ,   17 ,      2.78 ,      34 ,       44 ,"22781308,26104117,31173497,33495500,27760456,11555662,24965446,25825233,30733281,28468944,22837305,17965014,19114711,30459560,21873424,30409805,31506724,35600141,30189641,25418729,26088507,10920196,28302723,19995576,27602567,33688012,8089078,16408210,31692260,19575787,34976870,15722347,12692332,35265054"
lc-msms                               ,   18 ,      1.49 ,      35 ,       44 ,"30111112,26104117,12611891,35154294,26487969,20536739,35892672,34944635,30347620,23456891,17892558,22757692,23322550,31101113,23718750,19469553,28539318,16449382,34200738,19824013,33610896,35215189,27602567,22615881,32817453,32708393,24616729,27228164,31852494,34938367,25929241,28367977,32420127,27573699,28592803"
enzymatic                             ,   13 ,      2.77 ,      36 ,       44 ,"31425889,17473173,19102727,12522145,31981477,12037670,19364667,27626371,23665500,32333447,24811072,24718052,24920668,26511319,1570328,21309041,23348515,21600186,19917609,18838538,12543933,27303729,19360125,33492732,26861137,27892488,12913160,15210711,20176891,2492279,19740108,11278418,16600425,34273022,27098988,33592076"
biogenesis                            ,   14 ,      2.4  ,      29 ,       44 ,"26929434,25096996,17081065,33476259,32034402,32796722,17239655,21509594,27626371,34384932,32070771,21816274,21516107,18621711,16534748,35120969,26240280,28625552,35614067,25918244,22912857,33693959,28892042,29427714,27265872,23263864,22730406,12724356,32669547"
ovary                                 ,   13 ,      2.94 ,      24 ,       44 ,"21695218,19754951,31173497,18498429,12815282,12960062,19480240,31486991,35887102,14738879,33240452,20883646,12941645,34200738,28265575,26305539,7559470,18973667,35303100,7922339,11336498,7744952,24056278,12519079"
amyloid                               ,    4 ,      2.87 ,      20 ,       44 ,"26801685,24284412,26515131,10391242,10526337,10781099,14656991,15983050,16027166,16091362,18524908,20036644,24026677,30459560,23456891,23418567,21873424,34416235,29476059,34238312"
oxidize                               ,    6 ,      2.36 ,      31 ,       44 ,"17473173,12407145,19458327,30289745,17936691,26150413,25545414,26861137,10731722,21994946,11904290,27892488,17329258,23618867,23796494,12059788,12714748,17909037,20919932,10535922,28828729,25906064,24316080,15824112,16134099,14586471,7961686,9888818,12529539,18279387,27265872"
dementia                              ,    4 ,      3.76 ,      22 ,       44 ,"33729478,33495278,33771997,30347620,26515131,10391242,10526337,10781099,15983050,16027166,16091362,17965014,18440095,18524908,20036644,21752865,22170863,24026677,30890756,23418567,34416235,24908109"
itm2b                                 ,    1 ,      0.0  ,      10 ,       44 ,"20945367,17873332,18097506,17965014,18524908,19114711,24026677,30890756,21873424,34416235"
inflammatory                          ,   18 ,      3.72 ,      35 ,       43 ,"30111112,21695218,33403290,29849043,31173497,27660103,32231671,33916053,32873862,31823891,32116744,31133884,31391270,19432400,32319572,34306096,32867742,27646125,34199160,28315483,31982271,31797905,17555569,29954941,33260872,33269646,32471444,29228011,23796494,18538872,19195412,15262146,29117212,11971985,12477726"
milk                                  ,    5 ,      4.66 ,       9 ,       43 ,"32331315,33072792,31676851,11535622,27412694,26088507,21394738,32448582,33083141"
post-translational                    ,   11 ,      3.0  ,      40 ,       43 ,"32325910,12644575,19393622,12754519,15576338,28176357,16091362,21752865,31191455,1518044,25693797,18929534,22825850,22967762,19596686,26088507,19377461,28302723,28584052,32479599,27138431,23796209,33920578,25545414,33513391,24616729,31740833,17213197,18067580,19379712,17707773,19006180,1556119,10229683,19120453,16600425,34273022,32605139,33044977,28592803"
fibroblast                            ,   20 ,      2.4  ,      33 ,       43 ,"22152112,25105228,12145306,17239227,26332462,10400610,21636789,21049064,15146458,32112990,24733397,35887102,32796906,32294980,33495278,12037670,7588787,29715315,30626720,11181577,3670309,29530978,32333447,10779346,28584052,17118580,24140707,35013429,23315540,34029576,33889951,1556119,32476322"
arrest                                ,   14 ,      4.55 ,      32 ,       43 ,"32972993,19622630,33015792,30928384,33726573,19439179,31957815,28409330,20059949,27666310,26783066,30411496,20100936,33758202,25547487,23781026,24623079,29026428,32039234,16360036,35455958,29724888,10779346,12244100,23629655,9087427,23008267,17141802,11986303,18990192,16408210,34947982"
cofactor                              ,   14 ,      2.22 ,      36 ,       43 ,"15119826,12060739,16135753,17597530,32269123,15505029,18502750,19458327,9756848,22966205,10364329,10393184,27821587,1518044,1900194,25240868,1570328,8107717,26300302,7592562,21600186,19917609,28765283,22825850,16360036,10984507,14532282,19188440,20200153,8041739,8253832,10611289,33044977,10704837,12709428,23132854"
suppression                           ,   18 ,      3.68 ,      38 ,       43 ,"35605315,21695218,22577225,33999993,12815054,12145306,11360199,12628186,16341127,23200852,12063187,17537995,33871019,23073781,33918228,20974809,19114004,26395408,32296580,27721687,32748085,9651361,10623756,15705566,19815555,25318674,33492732,34491544,35614067,25918244,12080185,24056278,22313238,29554571,17187778,16157662,18304977,32817722"
vp16                                  ,    3 ,      0.11 ,      19 ,       43 ,"12588845,16040025,10623756,10629049,10779346,10871379,10984507,12235138,12244100,12670868,14532282,15705566,19188440,9271389,9389645,9087427,9334261,26522729,15452137"
saccharomyces                         ,    7 ,      2.39 ,      43 ,       43 ,"9409622,14562106,26912367,26743623,10449419,11884590,18627462,9452424,10095118,16534748,28555368,11777942,10684936,8496166,8089078,20356456,16102003,10681558,14586471,15210711,2895105,7961686,8344960,11741925,16987817,18067580,1903841,2656688,2852136,3062365,3540607,16408210,19120453,19424157,3119589,8307948,8314769,17513484,11976098,20018887,17098851,22730406,12692332"
albicans                              ,    3 ,      2.25 ,      18 ,       43 ,"25479903,15378761,10095118,10428815,11402051,12543933,12782322,14760707,16534748,19824013,20167299,26438063,26195524,12622818,1383159,16102003,16134099,18791036"
alas1                                 ,    1 ,      0.0  ,      10 ,       43 ,"33307066,22070747,21044876,20015225,18929534,16234850,17975826,1577484,24821812,29954941"
skin                                  ,   12 ,      4.91 ,      20 ,       42 ,"11063735,11841538,29034528,9887343,7743941,29901112,15581883,29246798,26332462,33916053,17081065,32294980,23148318,29925238,33888601,22293958,34029576,21776009,19195412,27822460"
ontology                              ,   19 ,      2.94 ,      39 ,       42 ,"30111112,31425889,34357055,32272486,28077931,31638262,27941623,25783682,32860793,32796906,31191455,33299887,31870285,31888678,20454581,31101113,35782537,31886120,20047682,34306096,32867742,32183175,31191748,19469553,15901252,19114004,32575356,26088507,32448582,33083141,35215189,31835328,31935846,34466438,31852494,34938367,25240600,33255918,33083121"
tyrosine                              ,   13 ,      2.86 ,      20 ,       42 ,"18614564,17537995,19439179,23793017,10329126,33153214,29546593,28768491,29540307,3670309,12031592,8910362,20410308,24648518,19665017,10535922,27573699,25812137,24391152,22046314"
testis                                ,   13 ,      2.43 ,      26 ,       42 ,"35909540,9739103,8798450,30733281,16641145,15140795,18060517,22184064,26305884,17873332,18097506,21149303,3356687,20015225,22570411,30450874,35455958,18973667,11336498,7744952,9674995,29945054,11161802,14622290,21151342,16189181"
head                                  ,   12 ,      5.51 ,      32 ,       41 ,"12802069,25293953,14645121,7898305,8619954,10830431,10926781,7720578,10940620,29440302,31969185,32277752,22564795,25005894,18057103,27416760,19007769,27930687,22184064,26305884,20100936,24608635,33299887,33356743,24188528,28781166,17446867,32628683,25838379,15452064,25663750,10704837"
transporter                           ,   16 ,      3.19 ,      26 ,       41 ,"26104117,19754951,27760456,21159877,25825233,29055040,26650439,26191006,24528242,16239143,30289745,34549988,19731322,21252495,35158652,33780465,33361324,32708393,31835328,31197210,26689807,31906144,17098851,12692332,35811673,19481530"
hela                                  ,   14 ,      2.68 ,      31 ,       41 ,"7219535,25954033,14964690,24147004,9001221,10847580,10931916,11525732,8439294,9409622,11713533,9499409,10393184,12944466,24515107,22968445,18452710,30259240,24718052,11574479,1729596,10593949,16901746,14570900,12059788,12161445,11986303,2492279,1903841,12724356,11250900"
bioinformatics                        ,   21 ,      2.82 ,      38 ,       41 ,"24800637,28077931,29849043,34559577,32549762,30535431,29145165,25815730,31638262,26332462,12438741,31191638,31938151,28270566,33600051,28241067,34944635,21752865,22757692,31191455,31938350,33490244,30988666,19469553,28934368,29375488,11840567,35215189,27602567,23113029,34071222,31126018,31835328,34466438,34938367,17890166,28367977,34051757"
oocyte                                ,   12 ,      2.25 ,      21 ,       41 ,"19754951,31173497,8601433,31486991,33905521,24940773,11525732,14738879,33758202,23781026,18927152,20883646,32842715,18000335,7922339,8631310,19384857,8253832,8660923,12724356,12773398"
locus                                 ,   11 ,      3.18 ,      27 ,       41 ,"18366691,22577225,33386644,14645121,33896883,22121204,9467018,35909540,26685160,15210948,9341872,14728987,12616398,26702755,24561205,22930593,12056811,23001565,2508059,18627462,10095118,28555368,22059956,22125433,33034629,11229364,8496166"
